price,repair,year_built_empty,house_age,closest_subway,dist_to_subway,sg,lat,lon,subway_dist_to_center,h3,agent_offers,subway_offers,address_offers,rooms,footage,floor,max_floor,first_floor,last_floor,AO,hm
13990000,2,0,17,81,488,0.0,55.703378,37.75647,10612,8611aa6a7ffffff,13,14,1.0,2,70.8,9,14,0,0,UVAO,panel
12000000,3,0,16,81,897,0.0,55.70441999999999,37.77749,10612,8611aa6a7ffffff,1,35,1.0,1,49.0,5,18,0,0,UVAO,monolith
15500000,3,0,12,81,199,0.0,55.70705,37.761707,10612,8611aa6a7ffffff,10,10,1.0,2,60.0,11,17,0,0,UVAO,panel
8990000,3,0,58,81,647,0.0,55.707832,37.753838,10612,8611aa6a7ffffff,16,24,2.0,2,45.0,4,5,0,0,UVAO,panel
15900000,3,0,12,81,392,0.0,55.70753000000001,37.75818,10612,8611aa6a7ffffff,17,14,1.0,2,60.0,14,17,0,0,UVAO,panel
10300000,3,0,13,81,1216,0.0,55.713826,37.750712,10612,8611aa6a7ffffff,4,18,2.0,1,42.1,18,25,0,0,UVAO,monolith
8100000,2,0,58,81,647,0.0,55.7056993,37.752974,10612,8611aa6a7ffffff,16,35,3.0,2,42.3,5,5,0,1,UVAO,panel
14200000,2,0,12,81,726,0.0,55.70368199999999,37.774426,10612,8611aa6a7ffffff,1,24,1.0,2,71.1,9,18,0,0,UVAO,panel
8000000,3,0,57,81,783,0.0,55.7101201,37.7727216,10612,8611aa6a7ffffff,11,35,1.0,2,37.1,9,9,0,1,UVAO,block
8800000,2,0,17,81,455,0.0,55.70231500000001,37.7587004,10612,8611aa6a7ffffff,11,35,1.0,1,48.4,1,7,1,0,UVAO,panel
8950000,2,0,12,81,768,0.0,55.70330210000001,37.77492520000001,10612,8611aa6a7ffffff,1,35,1.0,1,41.0,16,24,0,0,UVAO,panel
13500000,4,0,24,81,550,0.0,55.7041626,37.7548422,10612,8611aa6a7ffffff,1,21,2.0,2,51.4,9,14,0,0,UVAO,panel
8100000,2,0,58,81,647,0.0,55.7056993,37.752974,10612,8611aa6a7ffffff,21,24,1.0,2,42.3,5,5,0,1,UVAO,block
8000000,2,0,59,81,655,0.0,55.701308,37.770654,10612,8611aa6a7ffffff,1,18,1.0,2,45.5,1,5,1,0,UVAO,panel
8300000,3,0,57,81,687,0.0,55.6995838,37.7665252,10612,8611aa6a7ffffff,25,15,1.0,2,37.2,1,9,1,0,UVAO,block
8600000,3,0,55,81,578,0.0,55.7106299,37.7618583,10612,8611aa6a7ffffff,25,15,1.0,2,38.0,4,9,0,0,UVAO,block
7660000,2,0,55,81,609,0.0,55.71088979999999,37.7649388,10612,8611aa6a7ffffff,10,28,1.0,2,39.0,2,9,0,0,UVAO,panel
15450000,2,0,12,81,199,0.0,55.70705,37.761707,10612,8611aa6a7ffffff,9,10,1.0,2,60.0,11,17,0,0,UVAO,panel
8500000,3,0,59,81,1612,0.0,55.69828,37.78562,10612,8611aa6a7ffffff,19,18,1.0,2,45.0,1,5,1,0,UVAO,panel
8100000,2,0,57,81,202,0.0,55.7071654,37.7645875,10612,8611aa6a7ffffff,11,15,1.0,2,45.0,2,5,0,0,UVAO,panel
7999999,2,0,44,81,1085,0.0,55.701317,37.747646,10612,8611aa6a7ffffff,1,15,1.0,1,36.7,11,14,0,0,UVAO,brick
6570000,2,0,56,81,952,0.0,55.7137305,37.7674762,10612,8611aa6a7ffffff,1,15,1.0,1,32.4,3,5,0,0,UVAO,panel
10250000,3,0,13,81,1216,0.0,55.713826,37.750712,10612,8611aa6a7ffffff,3,15,1.0,1,42.0,18,25,0,0,UVAO,monolith
8950000,2,0,58,81,96,0.0,55.704655,37.762928,10612,8611aa6a7ffffff,28,21,1.0,2,44.0,4,5,0,0,UVAO,panel
